"city1";"city2";"avg_fare";"total_passengers";"number_of_trips"
"Detroit, MI";"Norfolk, VA (Metropolitan Area)";215.216491;4349.0;57
"Des Moines, IA";"Phoenix, AZ";171.099417;21810.0;103
"Des Moines, IA";"Washington, DC (Metropolitan Area)";226.927178;23955.0;326
"Des Moines, IA";"Los Angeles, CA (Metropolitan Area)";243.27275;22049.0;520
"Des Moines, IA";"Tampa, FL (Metropolitan Area)";175.6135;3647.0;40
"Houston, TX";"Pittsburgh, PA";265.253913;48710.0;276
"Houston, TX";"Phoenix, AZ";190.403027;103591.0;294
"Houston, TX";"Seattle, WA";237.160326;81250.0;276
"Houston, TX";"Nashville, TN";175.352214;71001.0;271
"Houston, TX";"Washington, DC (Metropolitan Area)";238.531006;229714.0;855
"Houston, TX";"St. Louis, MO";178.162319;75960.0;276
"Houston, TX";"Jacksonville, FL";200.547311;27785.0;264
"Houston, TX";"Orlando, FL";181.592302;137484.0;278
"Houston, TX";"Panama City, FL";187.934286;1148.0;14
"Houston, TX";"Minneapolis/St. Paul, MN";268.248116;56997.0;276
"Houston, TX";"New York City, NY (Metropolitan Area)";263.159562;343917.0;1507
"Houston, TX";"Las Vegas, NV";177.088043;177649.0;276
"Houston, TX";"Indianapolis, IN";198.345109;42110.0;276
"Houston, TX";"San Francisco, CA (Metropolitan Area)";246.189827;175312.0;810
"Houston, TX";"Miami, FL (Metropolitan Area)";189.793007;146071.0;552
"Houston, TX";"Los Angeles, CA (Metropolitan Area)";237.494411;302363.0;1290
"Houston, TX";"Lubbock, TX";141.420412;32649.0;267
"Houston, TX";"Louisville, KY";190.432802;16902.0;207
"Houston, TX";"Midland/Odessa, TX";166.411868;61043.0;273
"Houston, TX";"Sacramento, CA";240.521167;31664.0;257
"Houston, TX";"Tampa, FL (Metropolitan Area)";180.74148;67644.0;277
"Houston, TX";"Kansas City, MO";181.539746;61162.0;276
"Houston, TX";"Memphis, TN";209.03808;23600.0;224
"Houston, TX";"Omaha, NE";202.907092;22812.0;251
"Houston, TX";"Milwaukee, WI";222.719;16793.0;160
"Houston, TX";"New Orleans, LA";132.48308;185975.0;276
"Houston, TX";"San Diego, CA";213.853841;76402.0;276
"Houston, TX";"Norfolk, VA (Metropolitan Area)";229.146684;17365.0;374
"Houston, TX";"Pensacola, FL";150.034286;1042.0;14
"Houston, TX";"Oklahoma City, OK";156.747628;66154.0;274
"Houston, TX";"Portland, OR";246.24781;36860.0;274
"Houston, TX";"Philadelphia, PA";248.785688;94081.0;276
"Houston, TX";"Raleigh/Durham, NC";217.823686;40493.0;255
"Houston, TX";"Richmond, VA";246.711552;5684.0;58
"Houston, TX";"Salt Lake City, UT";226.964167;54902.0;276
"Houston, TX";"Tulsa, OK";159.049529;76185.0;276
"Houston, TX";"Savannah, GA";213.600833;1220.0;12
"Orlando, FL";"Phoenix, AZ";232.687229;52280.0;83
"Orlando, FL";"Washington, DC (Metropolitan Area)";147.083476;468276.0;374
"Orlando, FL";"San Francisco, CA (Metropolitan Area)";257.126844;119172.0;358
"Panama City, FL";"Washington, DC (Metropolitan Area)";257.063333;5446.0;78
"Valparaiso, FL";"Washington, DC (Metropolitan Area)";229.535238;6064.0;84
"Eugene, OR";"Phoenix, AZ";157.117083;4770.0;48
"Eugene, OR";"San Francisco, CA (Metropolitan Area)";156.940792;18564.0;240
"Eugene, OR";"Los Angeles, CA (Metropolitan Area)";178.473333;31079.0;537
"Key West, FL";"Washington, DC (Metropolitan Area)";268.913016;3876.0;63
"Key West, FL";"New York City, NY (Metropolitan Area)";248.593973;11463.0;297
"Fargo, ND";"Phoenix, AZ";214.365897;10344.0;78
"Kalispell, MT";"Los Angeles, CA (Metropolitan Area)";292.972;1762.0;40
"Minneapolis/St. Paul, MN";"Phoenix, AZ";176.276582;130481.0;79
"Minneapolis/St. Paul, MN";"Washington, DC (Metropolitan Area)";236.545205;173104.0;365
"Minneapolis/St. Paul, MN";"New York City, NY (Metropolitan Area)";271.384003;233745.0;712
"Minneapolis/St. Paul, MN";"San Francisco, CA (Metropolitan Area)";278.460141;157430.0;354
"Minneapolis/St. Paul, MN";"Tampa, FL (Metropolitan Area)";195.792616;77010.0;172
"New York City, NY (Metropolitan Area)";"Pittsburgh, PA";215.301388;148235.0;713
"New York City, NY (Metropolitan Area)";"Phoenix, AZ";260.439319;276520.0;734
"New York City, NY (Metropolitan Area)";"Seattle, WA";304.569808;233397.0;728
"New York City, NY (Metropolitan Area)";"Washington, DC (Metropolitan Area)";202.29445;448924.0;1991
"New York City, NY (Metropolitan Area)";"St. Louis, MO";234.235503;150741.0;716
"New York City, NY (Metropolitan Area)";"Orlando, FL";153.3887;1034797.0;731
"New York City, NY (Metropolitan Area)";"Wilmington, NC";207.113253;13305.0;332
"New York City, NY (Metropolitan Area)";"San Francisco, CA (Metropolitan Area)";331.230666;833970.0;2102
"New York City, NY (Metropolitan Area)";"Sacramento, CA";296.840154;53764.0;713
"New York City, NY (Metropolitan Area)";"Tampa, FL (Metropolitan Area)";164.067067;489949.0;832
"New York City, NY (Metropolitan Area)";"San Antonio, TX";266.350296;79089.0;710
"New York City, NY (Metropolitan Area)";"Omaha, NE";264.821659;36910.0;681
"New York City, NY (Metropolitan Area)";"San Diego, CA";296.379571;214376.0;723
"New York City, NY (Metropolitan Area)";"Norfolk, VA (Metropolitan Area)";204.105872;63900.0;1267
"New York City, NY (Metropolitan Area)";"Pensacola, FL";224.086734;9574.0;297
"New York City, NY (Metropolitan Area)";"Oklahoma City, OK";274.768366;29381.0;704
"New York City, NY (Metropolitan Area)";"West Palm Beach/Palm Beach, FL";171.087675;566692.0;714
"New York City, NY (Metropolitan Area)";"Portland, OR";311.067406;100979.0;717
"New York City, NY (Metropolitan Area)";"Portland, ME";214.540927;41286.0;593
"New York City, NY (Metropolitan Area)";"Raleigh/Durham, NC";170.428558;251470.0;721
"New York City, NY (Metropolitan Area)";"Richmond, VA";238.543495;64091.0;681
"New York City, NY (Metropolitan Area)";"Reno, NV";298.937752;23989.0;614
"New York City, NY (Metropolitan Area)";"Rochester, NY";190.334499;86702.0;689
"New York City, NY (Metropolitan Area)";"Salt Lake City, UT";299.750815;128024.0;712
"New York City, NY (Metropolitan Area)";"Savannah, GA";190.246113;73255.0;705
"New York City, NY (Metropolitan Area)";"Sarasota/Bradenton, FL";191.280104;61432.0;672
"New York City, NY (Metropolitan Area)";"Syracuse, NY";183.10937;41982.0;603
"New York City, NY (Metropolitan Area)";"Traverse City, MI";259.828;178.0;5
"Fort Myers, FL";"Washington, DC (Metropolitan Area)";164.398098;90320.0;368
"Fort Myers, FL";"Houston, TX";198.026563;3483.0;32
"Fort Myers, FL";"New York City, NY (Metropolitan Area)";176.118445;242992.0;714
"Fort Myers, FL";"Los Angeles, CA (Metropolitan Area)";310.59642;13182.0;324
"Greenville/Spartanburg, SC";"Washington, DC (Metropolitan Area)";194.276564;19609.0;227
"Greenville/Spartanburg, SC";"Houston, TX";214.24975;3447.0;40
"Greenville/Spartanburg, SC";"New York City, NY (Metropolitan Area)";216.106;37523.0;680
"Grand Rapids, MI";"Phoenix, AZ";200.880192;13421.0;104
"Grand Rapids, MI";"Washington, DC (Metropolitan Area)";194.930127;17274.0;237
"Grand Rapids, MI";"New York City, NY (Metropolitan Area)";241.306436;29357.0;665
"Grand Rapids, MI";"Los Angeles, CA (Metropolitan Area)";292.986637;23755.0;553
"Grand Rapids, MI";"Tampa, FL (Metropolitan Area)";152.101879;22396.0;149
"Greensboro/High Point, NC";"New York City, NY (Metropolitan Area)";197.843667;64435.0;679
"Las Vegas, NV";"Phoenix, AZ";109.058087;114644.0;115
"Las Vegas, NV";"Washington, DC (Metropolitan Area)";244.047745;228778.0;377
"Las Vegas, NV";"New York City, NY (Metropolitan Area)";243.959259;453737.0;729
"Las Vegas, NV";"San Francisco, CA (Metropolitan Area)";117.784282;598051.0;355
"Las Vegas, NV";"Miami, FL (Metropolitan Area)";214.460636;145209.0;236
"Las Vegas, NV";"Los Angeles, CA (Metropolitan Area)";107.558202;687331.0;573
"Las Vegas, NV";"Tampa, FL (Metropolitan Area)";185.51044;78505.0;159
"Las Vegas, NV";"Norfolk, VA (Metropolitan Area)";254.586;21692.0;180
"Indianapolis, IN";"Phoenix, AZ";220.315479;36643.0;73
"Indianapolis, IN";"Washington, DC (Metropolitan Area)";180.81874;97948.0;365
"Indianapolis, IN";"New York City, NY (Metropolitan Area)";211.505443;114389.0;711
"Indianapolis, IN";"San Francisco, CA (Metropolitan Area)";242.975367;57231.0;354
"Indianapolis, IN";"Miami, FL (Metropolitan Area)";167.108263;74163.0;236
"Indianapolis, IN";"Los Angeles, CA (Metropolitan Area)";234.591763;96110.0;590
"Indianapolis, IN";"Tampa, FL (Metropolitan Area)";124.97397;87736.0;199
"Jackson, WY";"New York City, NY (Metropolitan Area)";425.305878;6071.0;131
"Jackson, WY";"Los Angeles, CA (Metropolitan Area)";269.1392;769.0;25
"Jackson/Vicksburg, MS";"Washington, DC (Metropolitan Area)";214.932724;24329.0;312
"San Francisco, CA (Metropolitan Area)";"Tucson, AZ";173.779463;54070.0;354
"San Francisco, CA (Metropolitan Area)";"Seattle, WA";133.460676;601034.0;355
"San Francisco, CA (Metropolitan Area)";"Washington, DC (Metropolitan Area)";299.977255;401715.0;1104
"San Francisco, CA (Metropolitan Area)";"St. Louis, MO";245.26339;72660.0;354
"San Francisco, CA (Metropolitan Area)";"Spokane, WA";157.28322;50247.0;354
"San Francisco, CA (Metropolitan Area)";"Tampa, FL (Metropolitan Area)";256.627047;59306.0;403
"San Francisco, CA (Metropolitan Area)";"Santa Barbara, CA";158.324331;14246.0;157
"Miami, FL (Metropolitan Area)";"Pittsburgh, PA";167.979153;82215.0;236
"Miami, FL (Metropolitan Area)";"Phoenix, AZ";242.803414;75569.0;249
"Miami, FL (Metropolitan Area)";"Seattle, WA";267.030042;69567.0;236
"Miami, FL (Metropolitan Area)";"Nashville, TN";176.179746;81877.0;236
"Miami, FL (Metropolitan Area)";"Washington, DC (Metropolitan Area)";161.425778;508291.0;739
"Miami, FL (Metropolitan Area)";"St. Louis, MO";198.583475;69711.0;236
"Miami, FL (Metropolitan Area)";"Orlando, FL";116.990586;73492.0;239
"Miami, FL (Metropolitan Area)";"Minneapolis/St. Paul, MN";220.754619;95960.0;236
"Miami, FL (Metropolitan Area)";"New York City, NY (Metropolitan Area)";178.581266;1610441.0;1438
"Miami, FL (Metropolitan Area)";"San Francisco, CA (Metropolitan Area)";275.168376;165697.0;708
"Miami, FL (Metropolitan Area)";"Sacramento, CA";274.055;12860.0;134
"Miami, FL (Metropolitan Area)";"Tampa, FL (Metropolitan Area)";117.407928;111998.0;251
"Miami, FL (Metropolitan Area)";"San Antonio, TX";214.904915;31071.0;236
"Miami, FL (Metropolitan Area)";"Milwaukee, WI";176.599569;43072.0;232
"Miami, FL (Metropolitan Area)";"New Orleans, LA";162.60089;77999.0;236
"Miami, FL (Metropolitan Area)";"San Diego, CA";259.807585;51261.0;236
"Miami, FL (Metropolitan Area)";"Norfolk, VA (Metropolitan Area)";180.874407;36364.0;472
"Miami, FL (Metropolitan Area)";"Portland, OR";271.785696;27476.0;230
"Miami, FL (Metropolitan Area)";"Philadelphia, PA";164.734641;249224.0;237
"Miami, FL (Metropolitan Area)";"Raleigh/Durham, NC";151.180636;88860.0;236
"Miami, FL (Metropolitan Area)";"Richmond, VA";173.914364;34529.0;220
"Miami, FL (Metropolitan Area)";"Salt Lake City, UT";255.908534;41666.0;232
"Miami, FL (Metropolitan Area)";"Syracuse, NY";184.383989;19394.0;178
"Miami, FL (Metropolitan Area)";"Tallahassee, FL";180.338056;13565.0;108
"Los Angeles, CA (Metropolitan Area)";"Pittsburgh, PA";279.359676;70564.0;586
"Los Angeles, CA (Metropolitan Area)";"Tucson, AZ";146.85922;96421.0;590
"Los Angeles, CA (Metropolitan Area)";"Phoenix, AZ";117.858631;547284.0;599
"Los Angeles, CA (Metropolitan Area)";"Seattle, WA";156.128037;696162.0;591
"Los Angeles, CA (Metropolitan Area)";"Nashville, TN";244.856246;118119.0;586
"Los Angeles, CA (Metropolitan Area)";"Washington, DC (Metropolitan Area)";283.324103;519841.0;1818
"Los Angeles, CA (Metropolitan Area)";"Wichita, KS";242.230079;13829.0;381
"Los Angeles, CA (Metropolitan Area)";"St. Louis, MO";232.318288;128551.0;590
"Los Angeles, CA (Metropolitan Area)";"Orlando, FL";246.26113;223703.0;593
"Los Angeles, CA (Metropolitan Area)";"Minneapolis/St. Paul, MN";251.939288;203871.0;590
"Los Angeles, CA (Metropolitan Area)";"New York City, NY (Metropolitan Area)";315.225626;1173016.0;3221
"Los Angeles, CA (Metropolitan Area)";"Spokane, WA";177.057561;66430.0;578
"Los Angeles, CA (Metropolitan Area)";"San Francisco, CA (Metropolitan Area)";119.197747;2145874.0;1629
"Los Angeles, CA (Metropolitan Area)";"Miami, FL (Metropolitan Area)";270.251359;309819.0;1177
"Los Angeles, CA (Metropolitan Area)";"Louisville, KY";270.455;35240.0;586
"Los Angeles, CA (Metropolitan Area)";"Sacramento, CA";119.125539;588716.0;594
"Los Angeles, CA (Metropolitan Area)";"Tampa, FL (Metropolitan Area)";253.809687;95348.0;639
"Los Angeles, CA (Metropolitan Area)";"San Antonio, TX";206.098661;95056.0;590
"Los Angeles, CA (Metropolitan Area)";"Memphis, TN";296.563993;44617.0;586
"Los Angeles, CA (Metropolitan Area)";"Medford, OR";197.49;22095.0;477
"Los Angeles, CA (Metropolitan Area)";"Omaha, NE";200.124034;54823.0;590
"Los Angeles, CA (Metropolitan Area)";"Milwaukee, WI";236.742983;63874.0;590
"Los Angeles, CA (Metropolitan Area)";"Missoula, MT";218.346727;1882.0;55
"Los Angeles, CA (Metropolitan Area)";"New Orleans, LA";239.153051;116778.0;590
"Los Angeles, CA (Metropolitan Area)";"Norfolk, VA (Metropolitan Area)";327.052766;36509.0;1063
"Los Angeles, CA (Metropolitan Area)";"Oklahoma City, OK";229.492835;47413.0;589
"Los Angeles, CA (Metropolitan Area)";"West Palm Beach/Palm Beach, FL";283.274791;20457.0;455
"Los Angeles, CA (Metropolitan Area)";"Portland, OR";154.283492;383232.0;590
"Los Angeles, CA (Metropolitan Area)";"Philadelphia, PA";296.467385;203953.0;589
"Los Angeles, CA (Metropolitan Area)";"Santa Rosa, CA";179.622981;18023.0;161
"Los Angeles, CA (Metropolitan Area)";"Raleigh/Durham, NC";274.823543;75790.0;587
"Los Angeles, CA (Metropolitan Area)";"Richmond, VA";322.740332;22329.0;482
"Los Angeles, CA (Metropolitan Area)";"Reno, NV";135.213669;145460.0;586
"Los Angeles, CA (Metropolitan Area)";"Salt Lake City, UT";142.404102;342051.0;590
"Los Angeles, CA (Metropolitan Area)";"Tulsa, OK";233.987918;39225.0;586
"Los Angeles, CA (Metropolitan Area)";"Savannah, GA";332.896327;1541.0;49
"Los Angeles, CA (Metropolitan Area)";"Syracuse, NY";293.276012;6045.0;173
"Little Rock, AR";"Los Angeles, CA (Metropolitan Area)";244.310817;24068.0;526
"Louisville, KY";"Washington, DC (Metropolitan Area)";176.49837;70943.0;362
"Louisville, KY";"New York City, NY (Metropolitan Area)";229.936762;47052.0;701
"Louisville, KY";"Miami, FL (Metropolitan Area)";191.697434;27846.0;226
"Louisville, KY";"Tampa, FL (Metropolitan Area)";141.318611;32873.0;144
"Cincinnati, OH";"Dallas/Fort Worth, TX";267.139224;40269.0;219
"Cincinnati, OH";"Phoenix, AZ";180.500805;16735.0;87
"Cincinnati, OH";"Washington, DC (Metropolitan Area)";214.986749;59140.0;363
"Cincinnati, OH";"Houston, TX";260.076561;22776.0;221
"Cincinnati, OH";"New York City, NY (Metropolitan Area)";260.147595;103191.0;711
"Cincinnati, OH";"San Francisco, CA (Metropolitan Area)";334.975395;36609.0;354
"Cincinnati, OH";"Miami, FL (Metropolitan Area)";192.015297;56015.0;236
"Cincinnati, OH";"Los Angeles, CA (Metropolitan Area)";333.164158;53890.0;582
"Cincinnati, OH";"Tampa, FL (Metropolitan Area)";159.100745;43328.0;161
"Sacramento, CA";"Washington, DC (Metropolitan Area)";298.740135;57477.0;371
"Tampa, FL (Metropolitan Area)";"Washington, DC (Metropolitan Area)";163.108766;270217.0;397
"Kansas City, MO";"Phoenix, AZ";183.501909;69080.0;110
"Kansas City, MO";"Washington, DC (Metropolitan Area)";198.655865;123907.0;370
"Kansas City, MO";"New York City, NY (Metropolitan Area)";233.665668;113803.0;711
"Kansas City, MO";"San Francisco, CA (Metropolitan Area)";218.717135;73812.0;363
"Kansas City, MO";"Miami, FL (Metropolitan Area)";189.646287;54591.0;237
"Kansas City, MO";"Los Angeles, CA (Metropolitan Area)";203.636256;129040.0;601
"Kansas City, MO";"Tampa, FL (Metropolitan Area)";158.520692;43566.0;159
"San Antonio, TX";"Washington, DC (Metropolitan Area)";244.31163;101579.0;362
"San Antonio, TX";"San Francisco, CA (Metropolitan Area)";226.701751;47223.0;354
"San Antonio, TX";"Tampa, FL (Metropolitan Area)";193.1409;22096.0;100
"Memphis, TN";"Phoenix, AZ";214.314857;5056.0;35
"Memphis, TN";"Washington, DC (Metropolitan Area)";222.405882;54950.0;374
"Memphis, TN";"New York City, NY (Metropolitan Area)";255.81072;65736.0;708
"Memphis, TN";"Miami, FL (Metropolitan Area)";200.215763;31075.0;236
"Omaha, NE";"Phoenix, AZ";166.331383;36098.0;94
"Omaha, NE";"Washington, DC (Metropolitan Area)";208.256393;49938.0;366
"Omaha, NE";"San Francisco, CA (Metropolitan Area)";215.280179;29850.0;336
"Omaha, NE";"Tampa, FL (Metropolitan Area)";168.675556;7958.0;72
"Milwaukee, WI";"Phoenix, AZ";196.71;47679.0;74
"Milwaukee, WI";"Washington, DC (Metropolitan Area)";173.299454;77226.0;366
"Milwaukee, WI";"New York City, NY (Metropolitan Area)";199.284548;102042.0;697
"Milwaukee, WI";"San Francisco, CA (Metropolitan Area)";245.317037;43270.0;324
"Milwaukee, WI";"Tampa, FL (Metropolitan Area)";144.987176;51332.0;170
"Madison, WI";"New York City, NY (Metropolitan Area)";236.66323;29764.0;647
"New Orleans, LA";"Phoenix, AZ";238.718971;18863.0;68
"New Orleans, LA";"Washington, DC (Metropolitan Area)";200.617292;144742.0;373
"New Orleans, LA";"New York City, NY (Metropolitan Area)";212.064993;191336.0;715
"New Orleans, LA";"San Francisco, CA (Metropolitan Area)";242.216751;70344.0;354
"New Orleans, LA";"Tampa, FL (Metropolitan Area)";129.134646;51217.0;127
"Martha's Vineyard, MA";"New York City, NY (Metropolitan Area)";224.623111;3109.0;45
"San Diego, CA";"Washington, DC (Metropolitan Area)";295.93504;174469.0;373
"San Diego, CA";"San Francisco, CA (Metropolitan Area)";118.756723;652433.0;354
"San Diego, CA";"Tampa, FL (Metropolitan Area)";240.274597;28708.0;124
"Norfolk, VA (Metropolitan Area)";"Seattle, WA";299.812411;10900.0;112
"Norfolk, VA (Metropolitan Area)";"Orlando, FL";149.777669;47629.0;236
"Norfolk, VA (Metropolitan Area)";"Tampa, FL (Metropolitan Area)";161.034118;22741.0;221
"Norfolk, VA (Metropolitan Area)";"San Diego, CA";304.775636;31323.0;236
"Pensacola, FL";"Washington, DC (Metropolitan Area)";202.552327;27854.0;361
"Oklahoma City, OK";"Phoenix, AZ";224.872687;16354.0;67
"Oklahoma City, OK";"Washington, DC (Metropolitan Area)";238.178544;43424.0;364
"Portland, OR";"Washington, DC (Metropolitan Area)";295.073607;76700.0;377
"Portland, OR";"San Francisco, CA (Metropolitan Area)";131.320876;352107.0;354
"Portland, OR";"Tampa, FL (Metropolitan Area)";242.877821;13759.0;78
"Philadelphia, PA";"Phoenix, AZ";276.241061;57497.0;66
"Philadelphia, PA";"San Francisco, CA (Metropolitan Area)";314.063164;148484.0;354
"Philadelphia, PA";"Tampa, FL (Metropolitan Area)";162.754013;149519.0;152
"Palm Springs, CA";"San Francisco, CA (Metropolitan Area)";161.899884;52896.0;346
"Portland, ME";"Washington, DC (Metropolitan Area)";187.048452;38779.0;310
"Bend/Redmond, OR";"San Francisco, CA (Metropolitan Area)";229.070952;1647.0;21
"Bend/Redmond, OR";"Los Angeles, CA (Metropolitan Area)";220.706947;8643.0;190
"Raleigh/Durham, NC";"Washington, DC (Metropolitan Area)";168.749698;104240.0;364
"Raleigh/Durham, NC";"San Francisco, CA (Metropolitan Area)";298.141723;66888.0;354
"Raleigh/Durham, NC";"Tampa, FL (Metropolitan Area)";133.936475;56480.0;139
"Reno, NV";"Washington, DC (Metropolitan Area)";279.503766;21338.0;316
"Rochester, NY";"Washington, DC (Metropolitan Area)";177.912277;33581.0;347
"Salt Lake City, UT";"Washington, DC (Metropolitan Area)";276.713008;100227.0;369
"Salt Lake City, UT";"San Francisco, CA (Metropolitan Area)";152.752655;185839.0;354
"Salt Lake City, UT";"Tampa, FL (Metropolitan Area)";248.101467;16312.0;75
"Savannah, GA";"Washington, DC (Metropolitan Area)";191.797896;27947.0;328
"Springfield, MO";"Tampa, FL (Metropolitan Area)";153.7725;676.0;12
"Sarasota/Bradenton, FL";"Washington, DC (Metropolitan Area)";173.515804;21268.0;224
"Syracuse, NY";"Tampa, FL (Metropolitan Area)";155.664538;19113.0;130
"Knoxville, TN";"New York City, NY (Metropolitan Area)";225.962018;26710.0;649
"Knoxville, TN";"Miami, FL (Metropolitan Area)";195.16283;11620.0;106
"Knoxville, TN";"Tampa, FL (Metropolitan Area)";175.608983;6088.0;59
"Dallas/Fort Worth, TX";"Greensboro/High Point, NC";216.697857;9017.0;84
"Dallas/Fort Worth, TX";"Mission/McAllen/Edinburg, TX";167.331364;15474.0;132
"Dallas/Fort Worth, TX";"Palm Springs, CA";281.04875;1600.0;16
"Pittsburgh, PA";"Washington, DC (Metropolitan Area)";222.203207;42195.0;343
"Austin, TX";"Cleveland, OH (Metropolitan Area)";238.017813;3099.0;32
"Austin, TX";"Columbus, OH";205.387143;2894.0;14
"Austin, TX";"Houston, TX";125.144073;49853.0;248
"Phoenix, AZ";"Wichita, KS";150.246042;4490.0;48
"Phoenix, AZ";"Provo, UT";83.652162;6702.0;37
"Hartford, CT";"Houston, TX";252.803474;17985.0;213
"Bismarck/Mandan, ND";"Phoenix, AZ";206.391875;3309.0;32
"Nashville, TN";"Norfolk, VA (Metropolitan Area)";182.860227;3566.0;44
"Boston, MA (Metropolitan Area)";"Key West, FL";256.077917;1570.0;24
"Boston, MA (Metropolitan Area)";"Rochester, NY";210.55663;21571.0;273
"Burlington, VT";"New York City, NY (Metropolitan Area)";206.653181;36036.0;481
"Columbia, SC";"Washington, DC (Metropolitan Area)";234.631745;21867.0;321
"Columbia, SC";"New York City, NY (Metropolitan Area)";214.197466;21296.0;521
"Chicago, IL";"Palm Springs, CA";269.175333;14599.0;120
"Charlotte, NC";"Columbus, OH";253.837419;5848.0;31
"Jacksonville, FL";"Phoenix, AZ";258.084063;5571.0;32
"Jacksonville, FL";"San Francisco, CA (Metropolitan Area)";277.583333;20899.0;306
"Des Moines, IA";"New York City, NY (Metropolitan Area)";282.266522;21927.0;578
"Houston, TX";"Jackson/Vicksburg, MS";117.863836;18120.0;159
"Houston, TX";"Little Rock, AR";137.664545;25309.0;220
"Houston, TX";"San Antonio, TX";128.198068;55716.0;264
"Fresno, CA";"Phoenix, AZ";180.753667;4554.0;30
"New York City, NY (Metropolitan Area)";"Tucson, AZ";293.972909;33196.0;667
"New York City, NY (Metropolitan Area)";"Palm Springs, CA";355.134983;12579.0;297
"Fort Myers, FL";"Phoenix, AZ";286.405294;2644.0;17
"Fayetteville, AR";"New York City, NY (Metropolitan Area)";325.504045;17258.0;398
"Greenville/Spartanburg, SC";"Miami, FL (Metropolitan Area)";185.032;1425.0;20
"Grand Rapids, MI";"Miami, FL (Metropolitan Area)";207.839886;9695.0;88
"Miami, FL (Metropolitan Area)";"Omaha, NE";215.177195;7998.0;82
"Miami, FL (Metropolitan Area)";"Pensacola, FL";213.350417;2606.0;24
"Miami, FL (Metropolitan Area)";"Rochester, NY";176.173721;18369.0;172
"Louisville, KY";"Phoenix, AZ";228.339545;7596.0;44
"Memphis, TN";"Tampa, FL (Metropolitan Area)";157.963939;20993.0;132
"Madison, WI";"Phoenix, AZ";243.947143;1650.0;7
"Oklahoma City, OK";"Tampa, FL (Metropolitan Area)";168.33;221.0;2
"Richmond, VA";"Tampa, FL (Metropolitan Area)";137.854776;7564.0;67
"Reno, NV";"San Francisco, CA (Metropolitan Area)";121.955124;60348.0;322
"Rochester, NY";"Tampa, FL (Metropolitan Area)";157.012941;25754.0;102
"Syracuse, NY";"Washington, DC (Metropolitan Area)";209.044903;21843.0;308
"Knoxville, TN";"Washington, DC (Metropolitan Area)";261.35996;16455.0;251
"Atlantic City, NJ";"Miami, FL (Metropolitan Area)";140.928333;44890.0;174
"Dallas/Fort Worth, TX";"Sarasota/Bradenton, FL";211.67;167.0;2
"Aspen, CO";"New York City, NY (Metropolitan Area)";418.618156;5969.0;141
"Aspen, CO";"Los Angeles, CA (Metropolitan Area)";291.155098;4746.0;102
"Appleton, WI";"Phoenix, AZ";203.615714;1036.0;14
"Bangor, ME";"Tampa, FL (Metropolitan Area)";186.1025;1120.0;16
"Billings, MT";"Phoenix, AZ";166.514615;2066.0;26
"Cleveland, OH (Metropolitan Area)";"New Orleans, LA";178.710081;11180.0;124
"Bozeman, MT";"Phoenix, AZ";169.27;828.0;10
"Chicago, IL";"Key West, FL";349.17625;742.0;8
"Cedar Rapids/Iowa City, IA";"Tampa, FL (Metropolitan Area)";163.72125;528.0;8
"Des Moines, IA";"Miami, FL (Metropolitan Area)";210.6525;1977.0;24
"Houston, TX";"Tucson, AZ";222.605;980.0;14
"Houston, TX";"Reno, NV";183.151548;10608.0;155
"Eagle, CO";"New York City, NY (Metropolitan Area)";364.070526;10586.0;152
"Eagle, CO";"Miami, FL (Metropolitan Area)";430.639667;2821.0;30
"Fort Myers, FL";"San Francisco, CA (Metropolitan Area)";304.116905;2355.0;42
"Flint, MI";"Tampa, FL (Metropolitan Area)";144.764533;12460.0;75
"Fort Wayne, IN";"Tampa, FL (Metropolitan Area)";178.289;1434.0;20
"Harlingen/San Benito, TX";"Houston, TX";121.669597;38326.0;248
"Miami, FL (Metropolitan Area)";"Oklahoma City, OK";231.454167;779.0;12
"Everett, WA";"Phoenix, AZ";198.836923;3369.0;13
"Portland, ME";"Tampa, FL (Metropolitan Area)";153.806154;2070.0;13
"Colorado Springs, CO";"New York City, NY (Metropolitan Area)";258.53356;8513.0;191
"Chicago, IL";"Little Rock, AR";166.986599;26503.0;197
"Oklahoma City, OK";"San Francisco, CA (Metropolitan Area)";221.517604;19340.0;288
"Chicago, IL";"Wichita, KS";187.268961;6669.0;77
"Cleveland, OH (Metropolitan Area)";"Raleigh/Durham, NC";174.232077;12874.0;130
"Los Angeles, CA (Metropolitan Area)";"Rochester, NY";296.453661;9231.0;254
"Detroit, MI";"St. Louis, MO";105.343947;21175.0;38
"Dayton, OH";"Los Angeles, CA (Metropolitan Area)";281.946643;21190.0;423
"Dayton, OH";"Washington, DC (Metropolitan Area)";205.332165;39946.0;328
"Louisville, KY";"San Francisco, CA (Metropolitan Area)";255.149951;12412.0;204
"Cleveland, OH (Metropolitan Area)";"West Palm Beach/Palm Beach, FL";168.807885;10072.0;104
"Little Rock, AR";"Washington, DC (Metropolitan Area)";218.308731;27034.0;323
"Las Vegas, NV";"Salt Lake City, UT";117.0125;3097.0;4
"Baton Rouge, LA";"Washington, DC (Metropolitan Area)";230.405882;831.0;17
"Boston, MA (Metropolitan Area)";"Tucson, AZ";274.968176;9533.0;159
"Norfolk, VA (Metropolitan Area)";"San Francisco, CA (Metropolitan Area)";313.546247;15103.0;461
