"city1";"city2";"avg_fare";"total_passengers";"number_of_trips"
"Denver, CO";"Phoenix, AZ";132.707286;183110.0;70
"Denver, CO";"Washington, DC (Metropolitan Area)";235.501963;291027.0;377
"Denver, CO";"Houston, TX";189.609384;194799.0;276
"Denver, CO";"New York City, NY (Metropolitan Area)";248.60103;343950.0;728
"Denver, CO";"San Francisco, CA (Metropolitan Area)";203.502458;347821.0;354
"Denver, CO";"Miami, FL (Metropolitan Area)";213.377331;138704.0;236
"Denver, CO";"Los Angeles, CA (Metropolitan Area)";177.114169;469549.0;590
"Denver, CO";"Tampa, FL (Metropolitan Area)";207.191887;89415.0;159
"Denver, CO";"Norfolk, VA (Metropolitan Area)";236.910643;15733.0;140
"Atlanta, GA (Metropolitan Area)";"Dallas/Fort Worth, TX";177.082568;296411.0;222
"Atlanta, GA (Metropolitan Area)";"Phoenix, AZ";233.088143;67745.0;70
"Atlanta, GA (Metropolitan Area)";"Cleveland, OH (Metropolitan Area)";170.82161;98492.0;236
"Atlanta, GA (Metropolitan Area)";"Boston, MA (Metropolitan Area)";223.808644;260950.0;354
"Atlanta, GA (Metropolitan Area)";"Washington, DC (Metropolitan Area)";175.448733;487235.0;371
"Atlanta, GA (Metropolitan Area)";"Chicago, IL";155.95788;365318.0;250
"Atlanta, GA (Metropolitan Area)";"Columbus, OH";184.298542;29519.0;48
"Atlanta, GA (Metropolitan Area)";"Houston, TX";172.332464;186371.0;276
"Atlanta, GA (Metropolitan Area)";"New York City, NY (Metropolitan Area)";204.999424;742844.0;729
"Atlanta, GA (Metropolitan Area)";"San Francisco, CA (Metropolitan Area)";297.917994;186903.0;354
"Atlanta, GA (Metropolitan Area)";"Miami, FL (Metropolitan Area)";143.813983;384039.0;236
"Atlanta, GA (Metropolitan Area)";"Los Angeles, CA (Metropolitan Area)";275.311051;314714.0;590
"Atlanta, GA (Metropolitan Area)";"Tampa, FL (Metropolitan Area)";150.175397;165517.0;126
"Atlanta, GA (Metropolitan Area)";"Norfolk, VA (Metropolitan Area)";177.481992;62918.0;236
"Austin, TX";"Dallas/Fort Worth, TX";132.308101;142414.0;237
"Austin, TX";"Phoenix, AZ";204.883676;41895.0;68
"Austin, TX";"Boston, MA (Metropolitan Area)";247.158983;67715.0;354
"Austin, TX";"Washington, DC (Metropolitan Area)";253.745623;103727.0;361
"Austin, TX";"Chicago, IL";195.71932;106136.0;250
"Austin, TX";"New York City, NY (Metropolitan Area)";271.756898;152519.0;706
"Austin, TX";"San Francisco, CA (Metropolitan Area)";220.731497;150175.0;354
"Austin, TX";"Miami, FL (Metropolitan Area)";196.742543;52186.0;232
"Austin, TX";"Los Angeles, CA (Metropolitan Area)";194.128356;158460.0;590
"Austin, TX";"Tampa, FL (Metropolitan Area)";190.227273;23152.0;99
"Asheville, NC";"New York City, NY (Metropolitan Area)";224.494072;9152.0;194
"Asheville, NC";"Miami, FL (Metropolitan Area)";197.902742;8553.0;62
"Asheville, NC";"Tampa, FL (Metropolitan Area)";172.607568;4073.0;37
